image,method,MSE,PSNR,SSIM,Wasserstein,Latent_MSE,diag_mean_purity
person112_bacteria_538.jpeg,angle,179.046875,25.601136154255993,0.9120826200353659,3.34375,2.474819978537598e-32,
person112_bacteria_538.jpeg,dense_angle,179.046875,25.601136154255993,0.9120826200353659,3.34375,3.9481563859938335e-33,
person112_bacteria_538.jpeg,iqp,6243.484375,10.176533316823441,0.4940648211378932,72.1328125,0.22887429124450973,0.5083449568050331
person112_bacteria_538.jpeg,amplitude,179.046875,25.601136154255993,0.9120826200353659,3.34375,9.62964972193618e-35,
person112_bacteria_538.jpeg,entangled_angle,4739.5703125,11.373413903687137,0.5700158708890942,61.453125,0.03289498389762692,0.7160330876219583
person112_bacteria_539.jpeg,basis,3887.6953125,12.233881399236244,0.47509143989609126,48.046875,0.1374793600420993,
person112_bacteria_539.jpeg,angle,345.9296875,22.74092526334973,0.8737024104748714,4.640625,1.3192620119052566e-32,
person112_bacteria_539.jpeg,dense_angle,345.9296875,22.74092526334973,0.8737024104748714,4.640625,3.274080905458301e-33,
person112_bacteria_539.jpeg,iqp,9550.74609375,8.330430613530579,0.2340515075330739,87.05859375,0.35060430569483036,0.5019965757617734
person112_bacteria_539.jpeg,amplitude,345.9296875,22.74092526334973,0.8737024104748714,4.640625,0.0,
person112_bacteria_539.jpeg,entangled_angle,5637.140625,10.620214919338768,0.5117028552266681,66.109375,0.02969236869205676,0.7395635339783204
person113_bacteria_540.jpeg,basis,7816.90625,9.200454574756932,0.4066737237995841,79.6171875,0.13322464624277264,
person113_bacteria_540.jpeg,angle,291.54296875,23.48377789025779,0.8388373937892868,6.80859375,4.8148248609680896e-32,
person113_bacteria_540.jpeg,dense_angle,291.54296875,23.48377789025779,0.8388373937892868,6.80859375,5.3926038442842604e-33,
person113_bacteria_540.jpeg,iqp,7503.9921875,9.377879876460769,0.39267163710749664,74.4140625,0.1861398070172469,0.5066270434092193
person113_bacteria_540.jpeg,amplitude,291.54296875,23.48377789025779,0.8388373937892868,6.80859375,3.851859888774472e-34,
person113_bacteria_540.jpeg,entangled_angle,5763.9921875,10.523569773671696,0.5431219479302131,68.5625,0.025629171538656244,0.7847616595854421
